Date,Open,High,Low,Close,Volume,Market Cap
2023-11-17,0.0761540150804961,0.0826144311077234,0.0761540150804961,0.079201351885611,1943091072.87108,11117033281.337978
2023-11-18,0.0796404021680894,0.0873072304466275,0.0793108503135863,0.0862740881672026,4213169114.062718,11751769244.421602
2023-11-19,0.0857364362723296,0.0864254163988867,0.0797734289287544,0.0803108757705305,3930780335.2369337,11736960430.271776
2023-11-20,0.0802033028057925,0.0806352580539977,0.0778311482127158,0.0806352580539977,2154295016.229965,11205000446.18467
2023-11-21,0.0803710108409771,0.082222470409191,0.0774020126452541,0.0777644291930542,1361320209.3101046,11382778216.59582
2023-11-22,0.0777179300881997,0.0787586416605446,0.0718140745577219,0.0722598601914365,1583362606.794425,10813133975.30662
2023-11-23,0.0724396918865139,0.0765149874796184,0.0724396918865139,0.0758051740831235,1537721223.369338,10607381864.885015
2023-11-24,0.0758286282921824,0.0764065718864754,0.0750868046364997,0.0761952809802265,824714074.3101045,10776532967.87108
2023-11-25,0.0762955719939686,0.0784036600593261,0.0760822907192849,0.0782347080739177,758458579.2404181,10995683033.167248
2023-11-26,0.0780368758098394,0.0791350270588563,0.077642662179423,0.0789189769443454,834941015.7456446,11156122029.027874
2023-11-27,0.0788641275672117,0.0789913865257698,0.076319881517323,0.0786362739308263,618654444.5122807,11049989359.00351
2023-11-28,0.0785187402528056,0.0813704042037559,0.0770587660224651,0.0787956239892168,1411457727.43554,11193098977.41115
2023-11-29,0.0788399424299059,0.0808570951977639,0.0769766233211216,0.0808040142221658,1319042593.4965277,11194767226.708334
2023-11-30,0.0808559872952128,0.0827326685279374,0.0797677828150739,0.0804667601007551,1467970750.9166667,11490889500.76736
2023-12-01,0.0804945330163718,0.0842539244315136,0.0804611555465152,0.0834049895282103,1364614379.9444444,11677074491.42014
2023-12-02,0.0835307866101933,0.0848514172199535,0.0824711090857314,0.083820572790228,1408436513.1083915,11881197326.77972
